Category,Count,Variables,Example_Distribution,Business_Impact
OPERATIONAL - Lead Times,5,"supply_lead_time, demand_lead_time, manufacturing_leadtime, sourcing lead_time, vendor_lead_time",Lognormal (mean=2.0 stddev=0.5),Impacts delivery timing and inventory positioning - critical for service level
OPERATIONAL - Capacities,3,"lane capacity, production capacity_units, (implicit throughput limits)",Normal or Triangular,Affects maximum flow and bottleneck behavior - constrains system performance
OPERATIONAL - Quality/Yield,2,"yield_percentage, scrap_percentage",Beta (alpha=95 beta=5) bounded [0.90-1.00],Determines effective output and material waste - impacts cost and availability
OPERATIONAL - Setup/Changeover,2,"setup_time, changeover_time",Lognormal or Gamma (right-skewed),Affects production scheduling and sequence optimization - overhead time
OPERATIONAL - Processing Times,1,cycle_time,Normal or Gamma,Manufacturing speed variation - determines production rate
OPERATIONAL - Demand,1,demand_pattern (in market_demands),Poisson or Normal,Customer demand uncertainty - primary source of supply chain variance
OPERATIONAL - Deterioration,1,order_aging,Exponential or Weibull,Shelf life and spoilage modeling - impacts inventory holding decisions
OPERATIONAL - Forecast Error,1,forecast_quantity,Normal with error term,Forecast uncertainty - drives safety stock requirements
CONTROL - Inventory Policy,7,"target_qty, min_qty, max_qty, reorder_point, order_qty, order_up_to_level, service_level",Deterministic (fixed targets),Planner decisions - what we're trying to achieve
CONTROL - Financial,5,"holding_cost, backlog_cost, selling_price, unit_cost, changeover_cost",Deterministic (contracted/negotiated),Financial parameters - accounting and pricing strategy
CONTROL - Order Constraints,6,"min_order_qty, max_order_qty, qty_multiple, allocation_percent, min_batch_size, max_batch_size",Deterministic (business rules),Business policies and physical constraints
CONTROL - Planning Horizon,2,"frozen_horizon_days, planning_time_fence",Deterministic (policy decision),Planning policy - how far ahead to lock decisions
TRAINING - ML Data Gen,5,"inventory_target_range, initial_inventory_range, holding_cost_range, backlog_cost_range, selling_price_range",Range specs for random generation,Used only for generating training datasets - not operational
TOTAL OPERATIONAL,15,All stochastic operational variables above,Mix of distributions,Captures real-world supply chain uncertainty
TOTAL CONTROL,20,All deterministic control variables above,Deterministic only,Planner decisions and business rules
